masc,fem,root gloss,orth-masc,orth-fem
əkelʲ,əkelʲə,that,aquell,aquella
siβil,siβilə,civil,civil,civila
ʃop,ʃopə,drenched,xop,xopa
əspɛs,əspɛsə,thick,espès,espèsa
baʃ,baʃə,short,baix,baixa
tot,totə,all,tot,tota
pɔk,pɔkə,little,poc,poca
mal,malə,bad,mal,mala
əskerp,əskerpə,shy,esquerp,esquerpa
sɛk,sɛkə,dry,sec,seca
gros,grosə,large,gros,grosa
koʃ,koʃə,lame,coix,coixa
brut,brutə,dirty,brut,bruta
nu,nuə,nude,nu,nua
əgzaktə,əgzaktə,exact,exacte,exacte
suβlim,suβlimə,sublime,sublim,sublima
kru,kruə,raw,cru,crua
frənses,frənsezə,French,francès,francèsa
kəzat,kəzaðə,married,acasat,acasada
rɔʧ,rɔʒə,red,roig,roja
orp,orβə,blind,orb,orba
sek,seɣə,dry,sec,seca
grok,groɣə,yellow,groc,groga
kandit,kandiðə,candid,càndid,càndida
prəsis,prəsizə,precise,precís,precísa
gris,grizə,grey,gris,grisa
bwit,bwiðə,empty,buit,buida
boʧ,boʒə,crazy,boig,boja
lʲark,lʲarɣə,long,llark,llarga
fəʃuk,fəʃuɣə,heavy,feixuc,feixuga
puruk,puruɣə,fearful,poruc,poruga
frɛt,frɛðə,cold,fred,freda
dropu,dropə,lazy,dropo,dropa
flɔɲʤu,flɔɲʤə,soft,flonjo,flonja
səɣu,səɣurə,sure,segur,segura
səɣəðo,səɣəðorə,harvester,segador,segadora
sa,sanə,healthy,san,sana
bo,bonə,good,bo,bona
du,durə,hard,dur,dura
kla,klarə,clear,clar,clara
əlβi,əlβinə,albino,albí,albina
pla,planə,level,pla,plana
sərɛ,sərɛnə,calm,serè,serena
al,altə,tall,alt,alta
fɔr,fɔrtə,strong,fort,forta
sor,sorðə,deaf,sord,sorda
san,santə,saint,sant,santa
prufun,prufundə,deep,profund,profunda
kur,kurtə,short,curt,curta
bɛr,bɛrðə,green,verd,verda
kəlɛn,kəlɛntə,hot,calent,calenta
fəkun,fəkundə,fertile,fecund,fecunda
dulen,dulentə,bad,dolent,dolenta
blaŋ,blaŋkə,white,blanc,blanca
