[Inflection][GlideFinalVocalization][Syllabify0]		
UR	Predicted SR	Correct SR
		
[Inflection][InterConFrication][Syllabify0]		
UR	Predicted SR	Correct SR
1kald+Fem	1kal-ðə	1kal-də
		
[Inflection][WordFinStressedLengthening]		
UR	Predicted SR	Correct SR
ə-1tɛ+Masc	ə-1tɛuw	ə-1teuw
		
[Inflection][VocDeletion][StressedVowelLowering]		
UR	Predicted SR	Correct SR
əm-bi-1ðeks-tɾə+Fem	əm-bi-1ðɛks-tɾə	əm-bi-1ðeks-tɾə
		
[Inflection][WordFinAffrication]		
UR	Predicted SR	Correct SR
1midʒ+Masc	1midt͡ʃ	1mit͡ʃ
1ʎedʒ+Masc	1ʎedt͡ʃ	1ʎet͡ʃ
		
[Inflection][WordFinObstruentDevoicing][PreStopTrill]		
UR	Predicted SR	Correct SR
kuʎ-1βɛɾd+Masc	kuʎ-1βɛrt	kɔʎ-1βɛrt
1ɡɔɾd+Masc	1ɡɔrt	1ɡort
ʎəŋ-ɡwə-1ʎaɾɡ+Masc	ʎəŋ-ɡwə-1ʎark	ʎeŋ-ɡwə-1ʎark
		
[Inflection][Syllabify1]		
UR	Predicted SR	Correct SR
kɔn-tɾə-lɛk-tɾu-mu1tɾiu+Masc	kɔn-tɾə-lɛk-tɾu-mu1tɾi-u	kɔn-tɾə-lɛk-tɾu-mu-1tor
məɡ-nə-tu-mu1tɾiu+Masc	məɡ-nə-tu-mu1tɾi-u	məɡ-nə-tu-mu-1to
tək1tɾiu+Masc	tək1tɾi-u	tək-1to
lu-ku-mu1tɾiu+Masc	lu-ku-mu1tɾi-u	lu-ku-mu-1to
		
[Inflection][VocDeletion][Syllabify1]		
UR	Predicted SR	Correct SR
kɔn-tɾə-lɛk-tɾu-mu1tɾiu+Fem	kɔn-tɾə-lɛk-tɾu-mu1tɾi-ə	kɔn-tɾə-lɛk-tɾu-mu-1tɾiuw
məɡ-nə-tu-mu1tɾiu+Fem	məɡ-nə-tu-mu1tɾi-ə	məɡ-nə-tu-mu-1tɾiuw
